level,feature_id,lgd_code,name,stations,cities,pct_area_within_50km,area_km2
district,402,402,Dewas,1,1,52.1,7024
district,421,421,Raisen,1,1,44.0,8476
district,413,413,Katni,1,1,66.8,5054
district,400,400,Damoh,1,1,80.6,7311
district,426,426,Satna,1,1,79.0,7515
district,638,638,Singrauli,1,1,73.0,5769
district,375,375,Bilaspur,1,1,91.2,3543
district,215,215,Rohtas,1,1,96.5,3846
district,193,193,Bhojpur,1,1,100.0,2390
district,189,189,Aurangabad,1,1,100.0,3306
district,317,317,Medinipur East,1,1,68.3,3957
district,201,201,Katihar,1,1,99.9,3041
district,325,325,Dhanbad,1,1,100.0,2036
district,207,207,Munger,1,1,99.8,1412
district,216,216,Saharsa,1,1,100.0,1666
district,203,203,Kishanganj,1,1,100.0,1929
district,188,188,Araria,1,1,98.7,2790
district,314,314,Jalpaiguri,1,1,73.1,3434
district,225,225,Gangtok,1,1,100.0,555
district,217,217,Samastipur,1,1,100.0,2672
district,224,224,Vaishali,1,1,100.0,2038
district,218,218,Saran,1,1,100.0,2642
district,213,213,Purbi Champaran,1,1,100.0,3971
district,222,222,Siwan,1,1,100.0,2220
district,148,148,Gorakhpur,1,1,96.5,3325
district,245,245,Kohima,1,1,100.0,1010
district,300,300,Sivasagar,1,1,100.0,1570
district,298,298,Nalbari,1,1,100.0,1062
district,766,766,Itanagar capital complex,1,1,100.0,319
district,297,297,Nagaon,1,1,93.3,2576
district,282,282,Cachar,1,1,98.9,3785
district,261,261,Aizawl,1,1,83.7,2592
district,274,274,East Khasi Hills,1,1,89.4,2874
district,272,272,West Tripura,1,1,100.0,945
district,346,346,Baleshwar,1,1,89.8,3722
district,356,356,Jajapur,1,1,99.6,2892
district,350,350,Cuttack,1,1,97.0,3852
district,357,357,Jharsuguda,1,1,96.5,2141
district,520,520,Visakhapatanam,1,1,100.0,996
district,549,549,Udupi,0,0,20.5,3588
district,558,558,Kasaragod,0,0,64.0,1993
district,553,553,Lakshadweep District,0,0,0.0,13
district,560,560,Kottayam,0,0,19.1,2202
district,556,556,Idukki,0,0,5.1,4356
district,564,564,Pathanamthitta,0,0,18.0,2656
district,554,554,Alappuzha,0,0,42.4,1420
district,733,733,Tenkasi,0,0,3.3,2809
district,597,597,Virudhunagar,0,0,41.2,4242
district,588,588,Theni,0,0,21.5,2867
district,572,572,Dindigul,0,0,16.5,6052
district,585,585,Sivaganga,0,0,65.5,4242
district,592,592,Tirunelveli,0,0,40.8,3882
district,575,575,Kanniyakumari,0,0,54.0,1680
district,590,590,Thiruvarur,0,0,63.6,2262
district,579,579,Nagapattinam,0,0,0.2,1388
district,598,598,Karaikal,0,0,0.0,160
district,735,735,Mayiladuthurai,0,0,1.9,1174
district,610,610,Ariyalur,0,0,44.8,1936
district,570,570,Cuddalore,0,0,28.8,3706
district,593,593,Tiruvannamalai,0,0,0.0,6203
district,596,596,Villupuram,0,0,69.2,3676
district,730,730,Chengalpattu,0,0,49.9,2720
district,731,731,Ranipet,0,0,52.7,1853
district,753,753,Annamayya,0,0,41.1,8982
district,754,754,Sri Sathya Sai,0,0,24.8,8946
district,542,542,Kolar,0,0,43.7,3979
district,526,526,Bengaluru Rural,0,0,100.0,2306
district,577,577,Krishnagiri,0,0,40.7,5138
